English;Français;Spanish
Mountain Dew Code Red;Le Redbull;RedBull
Concealing a boner;Couvrir le bois;Ocultar una erección
Roofies;Les drogues de viol;Burundanga
Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts;Eric Zemmour;El padre Chucho
Tweeting;Twitter;Tuitear
The Big Bang;Le Big Bang;El Big Bang
Amputees;Les amputés;Tullidos
Dr. Marting Luther King Jr;L'Abbé Pierre;Jorge Eliécer Gaitán
Former President George W. Bush;Le Président Sarkozy;El expresidente Pastrana
Being marginalized;Etre marginalisé;Ser marginado
Smegma;Le smegma;Esmegma
Laying an egg;Pondre un oeuf;Poner un huevo
Cuddling;Faire des câlins;Arruncharse en cucharita
Aaron Burr;Napoléon;Francisco de Paula Santander
The Pope;Le Pape;El Papa
A bleached asshole;Le trou du cul blanchi;Un ano blancuzco
Horse meat;La viande chevaline;Carne de caballo
Genital piercings;Les piercings génitaux;Piercings en los genitales
Fingering;Mettre un doigt;Meterse los dedos
Elderly Japanese men;Les vieux Japonais;Viejitos japoneses
Stranger danger;Accepter des bonbons de la part d'un inconnu;Luis Alfredo Garavito
Fear itself;La peur elle-même;El miedo mismo
Science;La science;Ciencia
Praying the gay away;Guérir l'homosexualité;Persecución católica a los gays
Same-sex ice dancing;Le patinage artistique de même sexe;Patinaje artístico con parejas del mismo sexo
The terrorists;Les terroristes;Las FARC
Making sex at her;Faire du sexe chez elle;Tirar con ella
German dungeon porn;Du porno SM allemand;Porno alemana pesada
Bingeing and purging;Le goinfrage et la purge;Comilonas y purgas
Ethnic cleansing;Le nettoyage ethnique;Limpieza social
Cheating in the Special Olympics;Tricher à un tournoi Handisport;Hacer trampa en los Olímpicos de discapacitados
Nickelback;Nickelback;Nickelback
Heteronormativity;L'hétéronormativité;Heteronormatividad
William Shatner;Michel Sardou;Humberto Dorado
Making a pouty face;Faire la tronche;Cara de pato en Facebook
Chainsaws for hands;Une tronçonneuse à la place des mains;Motosierras en vez de manos
The placenta;Le placenta;Una placenta
The profoundly handicapped;Les polyhandicapés;Discapacitados múltiples
Tom Cruise;Tom Cruise;Tom Cruise
Object permanence;La permanence de l'objet;Permanencia de objetos
Goblins;Les lutins;Duendes
An icepick lobotomy;Une lobotomie au pic à glace;Una lobotomía con un picahielos
Arnold Schwarzenegger;Arnold Schwarzenegger;Arnold Schwarzenegger
Hormone injections;Les injections d'hormones;Inyecciones hormonales
A falcon with a cap on its head;;Un halcón con caperuza
Foreskin;Le prépuce;El prepucio
Dying;Mourir;Morir
Stunt doubles;Les doublures;Dobles de películas de acción
The invisible hand;La main invisible;La mano invisible
Jew-fros;La moumoute juive;Hare-Krishnas
A really cool hat;Un chapeau vraiment cool;Un sombrero muy chusco
Flash flooding;Une crue-éclair;Inundación relámpago
Flavored condoms;Les capotes à la fraise;Condones saborizados
Dying of disentery;Mourir de dysenterie;Morir de disentería
Sexy pillow fights;Une bataille de polochons en sous-vêtements;Peleas sexis con almohadas
The Three-Fifths compromise;Le colonialisme;El Frente Nacional
A sad handjob;Une branlette triste;Un pajazo triste
Men;Les hommes;Hombres
Historically black colleges;Le quota de défavorisés dans les Grandes Ecoles;Universidades de costeños
Sean Penn;George Clooney;George Clooney
Heartwarming orphans;Des orphelins réconfortants;Huérfanos encantadores
Waterboarding;Le waterboarding;waterboarding
The clitoris;Le clitoris;El clítoris
Vikings;Les Vikings;Vikingos
Friends who eat all the snacks;"Les ""amis"" qui mangent toutes les chips";Amigos que se comen todos los pasabocas
The Underground Railroad;La RATP;Transmilenio S.A.
Pretending to care;Faire semblant d'être intéressé;Pretender que a uno le importa
Raptor attacks;Des attaques de velociraptors;Ataques de velociraptors
A micropenis;Un micropenis;Un micropene
A Gypsy curse;Une malédiction de Gitans;Una maldición del Indio Amazónico
Agriculture;L'agriculture;Agricultura
Bling;Le Bling;Bling
A clandestine butt scratch;Se gratter le cul ni vu ni connu;Rascarse el culo disimuladamente
The South;Le Sud;El Chocó
Sniffing glue;Sniffer de la colle;Trabarse con bóxer
Consultants;Les consultants;Consultores
Geese;Des oies;Gansos
Being a dick to children;Se comporter comme un connard avec les enfants;Ser una caspa con los niños
Party poopers;Les rabat-joie;Aguafiestas
Sunshine and rainbows;Le soleil et les arcs-en-ciel;Arcoiris y pajaritos en el cielo
YOU MUST CONSTRUCT ADDITIONAL PYLONS;CASSE-TOI, PAUV'CON;YOU MUST CONSTRUCT ADDITIONAL PYLONS
Mutually-assured destruction;L'équilibre de la terreur;Destrucción Mutua Garantizada
Heath Ledger;Heath Ledger;Heath Ledger
Sexting;Le sexting;Sexting
An Oedipus complex;Un complexe d'Oedipe;Complejo de Edipo
Eating all of the cookies before the AIDS bake-sale;Voler une tirelire de Pièces Jaunes à un gamin;Comerse todos los pasabocas de una venta de caridad
A sausage festival;Une saucisse-party;Festival de salchichas
Michael Jackson;Michael Jackson;Michael Jackson
Skeletor;Skeletor;Skeletor
Chivalry;La chevalerie;Caballerosidad
Sharing needles;Partager ses seringues;Compartir agujas
Being rich;Etre riche;Ser rico
Muzzy;De la beuh;Topo Giggio
Count Chocula;Le retour de Groquick;El Conde Pátula
Spontaneous human combustion;La combustion humaine spontanée;Combustión humana espontánea
College;La fac;La universidad
Necrophilia;La nécrophilie;Necrofilia
The Chinese gymnastics team;L'équipe de gymnastique chinoise;El equipo Chino de gimnasia
Global warming;Le réchauffement climatique;Calentamiento Global
Farting and walking away;Lâcher une caisse et se barrer vite fait;Tirarse un pedo e irse
Cookie Monster devouring the Eucharist wafers;Prendre les osties pour des chips;El monstruo comegalletas devorando hostias
Stifling a giggle at the mention of Hutus and Tutsis;Réprimer un ricanement à la mention des Hutu et des Tutsi;Ahogar una risita al oír mencionar Hutus y Tutsis
Penis envy;Un concours de bites;Envidia del pene
Letting yourself go;Se laisser aller;Dejarse ir
White people;Les Blancs;Gente blanca
Dick Cheney;Nadine Morano;Juan Fernando Londoño
Leaving an awkward voicemail;Laisser un message maladroit sur un répondeur;Dejar un mensaje de voz incómodo
Yeast;Des mycoses;Levadura
Natural selection;La sélection naturelle;Selección natural
Masturbation;La masturbation;Masturbación
Twinkies;Les Balistos;Gansitos
A LAN party;Une LAN;Una LAN Party
Opposable thumbs;Les pouces opposables aux autres doigts;Pulgares oponibles
A grande sugar-free iced soy caramel macchiato;Un grand Caramel Frappucino light;Un Nevado grande de Arequipe
Soiling oneself;Se faire dessus;Cagarse encima
A sassy black woman;Une Renoi effrontée;Una santandereana malhablada
Sperm whales;Les cachalots;Cachalotes
Teaching a robot to love;Apprendre à un robot comment aimer;Enseñarle a un robot a amar
Whipping it out;Montrer sa bite;Sacársela
Panda sex;La reproduction des pandas;Pandas teniendo sexo
Catapults;Des catapultes;Catapultas
Will Smith;Will Smith;Will Smith
Toni Morrison's vagina;La chatte de Line Renaud;La vagina de Totó la Momposina
Five-Dollar Foot-longs;Les Double-Whoopers;Perro caliente de $1.000
Land mines;Les mines antipersonnel;Minas antipersonales
A sea of troubles;Une tonne d'emmerdes;Un mar de problemas
A zesty breakfast burrito;;Un tamal grande para el desayuno
Christopher Walken;Christopher Walken;Christopher Walken
Friction;Des tensions;Fricción
Balls;Les boules;Bolas
AIDS;Le SIDA;SIDA
The KKK;Le Front National;El Opus Dei
Figgy pudding;;Pastel navideño de frutas
Seppuku;Seppuku;Seppuku
Marky Mark and the Funky Bunch;Emile et images;Proyecto Uno
Gandhi;Gandhi;Ghandi
Dave Matthews Band;Coldplay;Coldplay
Preteens;Les pré-adolescents;Pre-adolescentes
The token minority;La caution minoritaire;Usar lenguaje incluyente
Friends with benefits;Les sexbuddies;Amigos con derechos
Re-gifting;Ré-offrir des cadeaux reçus;Regalos de segunda mano
Pixelated bukkake;Du bukkake pixelisé;Bukkake pixelado
Substitute teachers;Des remplaçants;Profesores de cátedra
Take-backsies;Les changements d'avis;Faltones
A thermonuclear detonation;Une détonation thermonucléaire;Una explosión termonuclear
The Tempur-Pedic Swedish Sleep System;;Colchones ortopédicos Comodísimo
Waiting 'til marriage;Pas avant le mariage;Aplazar el gustico
A tiny horse;Un petit cheval;Un caballo pequeño
A can of whoop-ass;Une grosse branlée de derrière les fagots;Camisa de once varas
Dental dams;Les digues dentaires;Barreras dentales
Feeding Rosie O'Donnell;Nourrir Valérie Damidot;Alimentar a la Negra Candela
Old-people smell;L'odeur des vieux;Olor a anciano
Genghis Khan;Genghis Khan;Genghis Khan
Authentic Mexican cuisine;La cuisine mexicaine authentique;Comida Mexicana auténtica
Oversized lollipops;Les sucettes géantes;BomBomBumes enormes
Garth Brooks;Pascal Obispo;Juanes
Keanu Reeves;Keanu Reeves;Keanu Reeves
Drinking alone;Boire seul;Beber solo
The American Dream;Le rêve américain;El sueño americano
Taking off your shirt;Enlever son T-Shirt;Quitarse la camisa
Giving 110%;Se donner à 110%;Dar el 110%
Flesh-eating bacteria;"Une bactérie ""mangeuse de chair""";Fascitis necrotizante
Child abuse;La maltraitance sur mineurs;Abuso infantil
A cooler full of organs;Une glacière remplie d'organes;Una nevera llena de órganos
A moment of silence;Un moment de silence;Un momento de silencio
The Rapture;La fin du monde;La Segunda Venida
Keeping Christ in Christmas;Rendre Noël aux chrétiens;Mantener la Navidad Cristiana
Robocop ;Robocop;Robocop
That one gay Teletubby;Le Teletubby qui est gay là.;El teletubbie maricón
Sweet, sweet vengeance;Une vengeance bien méritée;Dulce, dulce venganza
Fancy Feast;Royal Canin;Whiskas
Pooping back and forth. Forever.;Poop back and forth, forever ))<>((;Pooping back and forth. Forever.
Being a motherfucking sorcerer;Etre un putain de sorcier;Ser un hechicero fabuloso
Jewish fraternities;Les communautés juives;Comunidades de evangélicos
Edible underpants;Des sous-vêtements comestibles;Ropa interior comestible
Poor people;Les pauvres;Pobres
All-you-can-eat shrimps for $4.99;Un buffet de crevettes à volonté pour 5 euros;Ceviches de camarón de $5.000
Britney Spears at 55;Britney Spears à 55 ans;Britney Spears a los 55
That thing that electrocutes your abs;Ce truc qui électrocutes tes abdos;La cosa esa que le electrocuta los abdominales
Cards Against Humanity;Cards Against Humanity;Cards Against Humanity
A murder most foul;Un meurtre des plus répugnants;Un homicidio asqueroso
Me time;Du temps à moi;Tiempo personal
The inevitable heat death of the universe;L'inévitable mort thermique de l'univers;El fin del universo a expensas del inexorable aumento de la entropía
Nocturnal emissions;Des pollutions nocturnes;Poluciones nocturnas
Daddy issues;Le complexe d'Electre;Complejo de Electra
The hardworking Mexican;Les Maghrébins bosseurs;El boyacense trabajador
Natalie Portman;Natalie Portman;Natalie Portman
Waking up half-naked in a Denny's parking lot;Se réveiller le cul à l'air sur le parking du McDo;Despertarse semidesnudo en un potrero
Nipple blades;Un piercing au téton;Piercings en los pezones
Assless chaps;Les combi-shorts;Chaparreras
Full frontal nudity;La nudité totale;Desnudez frontal
Hulk Hogan;Hulk Hogan;Hulk Hogan
Passive-aggression;Le comportement passif-aggressif;Ataques pasivo-agresivos
Ronald Reagan;Jacques Chirac;Belisario Betancourt
Vehicular manslaughter;Renverser quelqu'un en voiture;Atropellar y matar a alguien
Menstruation;Les menstruations;Menstruación
Pulling out;Se retirer;Coitus interruptus
Picking up girls at the abortion clinic;Chopper des filles à la sortie du centre IVG;Echar los perros en una clínica de abortos
The homosexual agenda;Le programme secret des homosexuels;La conspiración homosexual
The Holy Bible;La Sainte Bible;La Santa Biblia
World peace;La paix dans le monde;Paz Mundial
Testicular torsion;Une crampe testiculaire;Torsión testicular
The milk man;Le facteur;El lechero
A time-travel paradox;Un paradoxe de voyage temporel;Paradojas de viajes en el tiempo
Hot Pockets;Les nouilles instantanées;Arepas precocidas
Guys who don't call;Les mecs qui ne rappellent pas;Manes que no llaman
Eating the last known bison;Manger le dernier bison vivant;Comerse el último oso de anteojos
Darth Vader;Dark Vador;Darth Vader
Scalping;Le scalp;Escalpelamiento
Homeless people;Les SDF;Indigentes
The Worlds of Warcraft;WOW;World of Warcraft
Gloryholes;Les Gloryholes;Gloryholes
Saxophone solos;Les solos de sax;Solos de saxofón
Sean Connery;Sean Connery;Sean Connery
God;Dieu;Dios
Intelligent design;Le dessein intelligent;Diseño Inteligente
"The taint, the grundle, the fleshy fun-bridge";;El nies
Friendly fire;Les tirs de son propre camp;Fuego amigo
Keg stands;Le jeu des caps;Beber de una jirafa de cerveza
Eugenics;L'eugénisme;Eugenesia
A neglected Tamagotchi;Un Tamagotchi négligé;Un tamagotchi abandonado
Robert Downey Jr.;Robert Downey Jr.;Robert Downey Jr.
The heart of a child;Le coeur d'un enfant;El corazón de un niño
Seduction;La séduction;Seducción
Smallpox blankets;Des couvertures infectées de variole;Cobijas de tuberculoso
Licking things to claim them as your own;Lécher les choses pour dire qu'elles t'appartiennent;Lamer cosas para apropiarse de ellas
A salty surprise;Une surprise salée;Una 
Poorly-timed Holocaust jokes;Les blagues sur la Shoah au mauvais moment;Bromas impertinentes acerca de la masacre de las bananeras
My soul;Mon âme;Mi Alma
My sex life;Ma vie sexuelle;Mi vida sexual
Pterodactyl eggs;Des oeufs de pterodactyl;Huevos de pterodáctilo
Altar boys;Les enfants de choeur;Monaguillos
Forgetting the Alamo;Oublier la bataille de Verdun;Olvidar la Batalla de Boyacá
72 virgins;72 vierges;72 vírgenes
Raping and pillaging;Le viol et le pillage;Violar y saquear
Pedophiles;Les pédophiles;Pedófilos
Eastern European Turbo-Folk music;Le turbo-folk des Balkans;Vallenato electrónico
A snapping turtle biting the tip of your penis;Une tortue alligator mordant le bout de ton gland;Una tortuga mordiéndote la punta del pene
Pabst Blue Ribbon;Une 1664;Cerveza Club Colombia
Domino's Oreo Dessert Pizza;Un burger bacon/foie gras;Una bandeja paisa
My collection of high-tech sex toys;Ma collection de sextoys hi-tech;Mi colección de juguetes sexuales de alta tecnología
A middle-aged man on roller skates;Un quadra sur des rollers;Un cuarentón en patines
The Blood of Christ;Le Sang de Christ;La Sangre de Cristo
Half-assed foreplay;Des préliminaires torchés;Caricias torpes
Free samples;Les échantillons gratuits;Muestras gratis
Douchebags on their iPhones;Les connards sur leur iPhone;Imbéciles con sus iPhone
Hurricane Katrina;La tempête Cynthia;La tragedia de Armero
Wearing underwear inside-out to avoid doing laundry;Retourner son slip pour faire moins de lessive;Usar ropa interior al revés para evitar tener que lavarla
Republicans;L'UMP;El partido Conservador
Jerking off into a pool of children's tears;Se branler dans une piscine de larmes d'enfants;Pajearse en una piscina de lágrimas de niño
Getting really high;Etre foncedé;Trabarse de veras
The deformed;;Gente deforme
Michelle Obama's arms;Les jambes de Carla Bruni;Los brazos de Piedad Córdoba
Explosions;Des explosions;Explosiones
The Übermensch;Les Surhommes;El superhombre
Donald Trump;Donald Trump;Raimundo Angulo
Sarah Palin;Segolène Royal;Noemí Sanín
Attitude;Le comportement;Actitud
This answer is postmodern;Cette réponse est postmoderne;Esta respuesta es posmoderna
Team-building exercises;Des exercices de team-building;Dinámicas de integración empresarial
Repression;Le refoulement;Represión
Road head;Une pipe au volant;Mamársela al conductor
A bag of magic beans;Un sac de haricots magiques;Una bolsa de fríjoles mágicos
An asymmetric boob job;Des seins refaits à la truelle;Unas tetas operadas asimétricas
Dead parents;Des parents morts;Papás muertos
Public ridicule;Le ridicule en public;Hacer el oso
A mime having a stroke;Un mime qui a une crise cardiaque;Un mimo sufriendo un infarto
Stephen Hawking talking dirty;Stephen Hawking parlant sale;Stephen Hawking diciendo porquerías
African Children;Les petits Africains;Niños africanos
Mouth herpes;L'herpès buccal;Herpes bucal
Bill Nye the Science Guy;Mac Lesggy;El Profesor Yarumo
Bitches;Les pétasses;Perras
Italians;Les Italiens;Italianos
Have some more kugel;Avec ou sans patates ?;Comer más arroz con leche
A windmill full of corpses;Un moulin rempli de cadavres;Un gallinero lleno de cadáveres
Her Royal Highness, Queen Elizabeth II;Sa Majesté la Reine Elizabeth II;Su Alteza Real, la Reina Elizabeth II
Crippling debt;Une dette accablante;Deuda aplastante
A stray pube;Un poil de cul vagabond;Un vello púbico
Leprosy;La lèpre;Lepra
A brain tumor;Une tumeur au cerveau;Un tumor cerebral
Bees ?;Kamoulox ?;¿Abejas?
Puppies !;Des chatons !;¡Cachorritos!
Cockfights;;Peleas de gallos
Kim Jong-Il;Kim Jong-Il;Kim Jong-Il
Hope;L'espoir;Esperanza
Incest;L'inceste;Incesto
Grave robbing;Le pillage de tombes;Asaltar tumbas
Asians who aren't good at math;Les Asiats qui ne sont pas bons en maths;Asiáticos que no son buenos en matemáticas
Alcoholism;L'alcoolisme;Alcoholismo
(I am doing Kegels right now.);(Je suis en train de faires mes exercices de Kegel là);(Estoy haciendo Kegels en este preciso momento)
Justin Bieber;Justin Bieber;Justin Bieber
The Jews;Les Juifs;Los Judíos
Bestiality;La zoophilie;Zoofilia
Winking at old people;Faire des clins d'oeil aux vieux;Coquetear con ancianos
Kids with ass cancer;Des gamins avec un cancer du cul;Niños con cáncer en el culo
Auschwitz;Auschwitz;Auschwitz
Civilian casualties;Des victimes civiles;Falsos positivos
Being on fire;Etre chaud bouillant;Estar en llamas
The Thong Song;The Thong Song;Livin' la Vida Loca
My relationship status;Mon statut Facebook;Situación sentimental (en Facebook)
Shaquille O'Neal's acting career;La carrière d'acteur d'Eric Cantona;La carrera musical de Amparo Grisales
Being fabulous;Avoir la classe;Ser fabuloso
Lactation;La lactation;Lactancia
Not reciprocating oral sex;Sexe oral non réciproque;Sexo oral no correspondido
Sobbing into a Hungry-Man Frozen Dinner;;Comer solo y llorar de tristeza
My genitals;Mes parties génitales;Mis genitales
GoGurt;Du Yop;Bon-Ice
Judge Judy;Julie Lescaut;Laura en América
Lumberjack fantasies;Les fantasmes sur les bûcherons;Fantasías con obreros
The gays;Les homos;Los gays
Scientology;La Scientologie;Cienciología
Estrogen;Les oestrogènes;Estrógeno
Police brutality;La violence policière;El ESMAD
Passable transvestites;Les travelos cheaps;Travestis aceptables
The Virginia Tech Massacre;Le petit Gregory;La masacre del Pozzetto
Tiger Woods;Franck Ribery;Alejandro Falla
Racism;Le racisme;Racismo
Glenn Beck being harried by a swarm of buzzards;Jean-Pierre Pernaud;Carlos Holguín Sardi
Surprise sex !;Sexe surprise !;¡Sexo Sorpresa!
Classist undertones;Les sous-entendus sur les classes sociales;Comentarios clasistas
Booby-trapping the house to foil burglars;Piéger la maison pour déjouer les voleurs;Llenar la casa de trampas para defenderse de los ladrones
New Age music;La musique New Age;Música New Age
PCP;Le LSD;LSD
A lifetime of sadness;Une vie de tristesse;Una vida de tristezas
Doin't it in the butt;Le faire par derrière;Darle por el chiquito
Tentacle porn;Le porno avec des tentacules;Porno con tentáculos
Too much hair gel;Le Pento;Demasiado gel para el pelo
Not giving a shit about the Third World;Ne rien avoir à branler des pauvres;Que no le importe ni mierda el Tercer Mundo
Barack Obama;Barack Obama;Barack Obama
Golden showers;Les douches dorées;Lluvia dorada
Getting drunk on mouthwash;Se bourrer la gueule au sirop pour la toux;Emborracharse con enjuague bucal
A M. Night Shyamalan plot twist;Un retournement de situation à la M. Night Shyamalan;Un giro en la trama estilo M. Night Shyamalan
A robust mongoloid;Un mongolien costaud;Un mongólico fornido
Nazis;Nazis;Nazis
An erection that lasts longer than four hours;Une érection qui dure plus de 4 heures;Una erección que dure más de 4 horas
A disappointing birthday party;Un anniversaire décevant;Una fiesta de cumpleaños decepcionante
Puberty;La puberté;Pubertad
Two midgets shitting into a bucket;2 nains qui chient dans un seau;Dos enanos cagando en un balde
The forbidden fruit;Le fruit défendu;La fruta prohibida
Getting so angry that you pop a boner;Bander de colère;Estar tan enojado que te da una erección
Sexual tension;La tension sexuelle;Tensión sexual
Third base;Jouer à touche-pipi;Bluyinear
Those times when you get sand in your vagina;Ces fois où tu finis avec du sable dans la fente;Esas veces en las que se te mete arena en la vagina
A Super Soaker full of cat pee;Une serpillière gorgée de pisse de chat;Una pistola de agua llena de orines de gato
Racially-biased SAT questions;Les sondages orientés ethniquement;Preguntas del ICFES ligeramente racistas
Porn stars;Les stars du porno;Estrellas Porno
A fetus;Un foetus;Un feto
Obesity;L'obésité;Obesidad
When you fart and a little bit comes out;Un petchié ou prout-chié;Cuando te tiras un pedo y te cagas un poquito
BATMAN!!!;BATMAN;BATMAN!!!
Black people;Les Noirs;Negros
Hot people;Les beaux gosses;Gente sexy
Grandma;Mamie;Abuelita
Famine;La faim dans le monde;Hambruna
The miracle of childbirth;Le miracle de la naissance;El milagro del nacimiento
Goats eating cans;Des dauphins étouffés par des sacs plastiques;Chivos comiendo latas
A monkey smoking a cigar;Un singe fumant un cigare;Un mico fumando un cigarrillo
Parting the Red Sea;La traversée de la Mer Rouge;Partir el Mar Rojo
Dead babies;Des bébés morts;bebés muertos
Impotence;L'impuissance;Impotencia
Child beauty pageants;Les concours de beauté pour enfants;Niños participando en concursos de belleza
Centaurs;Les centaures;Centauros
AXE Body Spray;Le déo Axe;Desodorante AXE
Women's suffrage;Le droit de vote des femmes;El voto femenino
Children on leashes;Les enfants en laisse;Niños con bozales
Harry Potter erotica;Les fan-fictions érotiques sur Harry Potter;Relatos eróticos de Harry Potter
Lance Armstrong's missing testicle;La couille manquante de Lance Armstrong;El testículo faltante de Lance Armstrong
Dwarf tossing;Le lancer de nains;Lanzar enanos
Women in yogurt commercials;Les femmes des pubs de yaourt;Mujeres en comerciales de yogurt
Multiple stab wounds;De multiples blessures au couteau;Puñaladas múltiples
Cybernetic enhancements;Les améliorations cybernétiques;Mejoras cibernéticas
Serfdom;Le servage;Servidumbre
Another goddamn vampire movie;Encore un autre putain de film de vampires;Otra puta película de vampiros
Glenn Beck catching his scrotum on a curtain hook;Cauet;El Procurador Ordóñez
Peeing a little bit;Faire une petite goutte;Orinarse un poquito
Ghosts;Des Fantômes;Fantasmas
Bananas in Pajamas;Les Pokemons;Bananas en Pijamas
Active listening;L'écoute active;Escucha activa
Kamikaze pilots;Les kamikazes;Pilotos Kamikaze
Anal beads;Les perles anales;Bolas anales
The Make-A-Wish Foundation;L'opération Pièces Jaunes;Solidaridad Por Colombia
;Les fonctionnaires;Funcionarios públicos
;Des hémorroïdes;Hemorroides
The Force;La Force;La Fuerza
